Author Name,Biography
"Johns, Geoff","Geoffrey Johns (born January 25, 1973) is an American comic book writer, screenwriter and film and television producer. Johns's work on the DC Comics characters Green Lantern, Aquaman, Flash and Superman, has drawn critical acclaim."
"Oram, Andy",""
"Cormen, Thomas",""
"Tanenbaum, Andrew",""
"Taub, Schilling",""
"Rashid, Muhammad",""
"Mohan, Ned",""
"Kanetkar, Yashwant",""
"Raymond, Eric",""
"Franco, Sergio",""
"Foreman, John",""
"Sebastian Gutierrez",""
"Pratt, John",""
"Nisbet, Robert",""
"Conway, Drew",""
"Silver, Nate",""
"McKinney, Wes",""
"Gupta, Madan",""
"Bradsky, Gary","Gary Bradski is an American scientist, engineer, entrepreneur, and author. He co-founded Industrial Perception, a company that developed perception applications for industrial robotic application (since acquired by Google in 2012 [2]) and has worked on the OpenCV Computer Vision library, as well as published a book on that library.[3]"
"Forsyth, David",""
"Duda, Hart",""
"Thomas, Joy",""
"Haykin, Simon",""
"Vapnik, Vladimir",""
"Downey, Allen",""
"Janert, Phillip",""
"Smith, Adam",""
"Dubner, Stephen","Stephen Joseph Dubner (born August 26, 1963) is an American author, journalist, and podcast and radio host. He is co-author of the popular Freakonomics book series and host of Freakonomics Radio."
"Sussman, Gerald",""
"Stonier, Alfred",""
"Greene, W. H.",""
"Various",""
"Drucker, Peter",""
"Vonnegut, Kurt",""
"Kafka, Frank",""
"Wells, H. G.",""
"Camus, Albert",""
"Doyle, Arthur Conan","Sir Arthur Ignatius Conan Doyle KStJ DL (22 May 1859 – 7 July 1930) was a British writer and physician. He created the character Sherlock Holmes in 1887 for A Study in Scarlet, the first of four novels and fifty-six short stories about Holmes and Dr. Watson. The Sherlock Holmes stories are milestones in the field of crime fiction."
"Follett, Ken",""
"Hemingway, Ernest",""
"Archer, Jeffery",""
"Crichton, Michael",""
"Poe, Edgar Allen",""
"Grisham, John",""
"Naipaul, V. S.",""
"Heller, Joseph",""
"Stroud, Jonathan",""
"Dostoevsky, Fyodor",""
"Ghosh, Amitav",""
"Hansberry, Lorraine",""
"Garg, Sanjay",""
"Gardner, Earle Stanley",""
"Hugo, Victor",""
"Braithwaite",""
"Forsyth, Frederick",""
"Durrell, Gerald",""
"Maugham, William S",""
"Gordon, Richard",""
"Steinbeck, John",""
"Verne, Jules",""
"West, Morris",""
"Sassoon, Jean",""
"Dickinson, Peter",""
"Brown, Dan",""
"Huxley, Aldous",""
"Rowling, J K",""
"Larsson, Steig",""
"Dickens, Charles",""
"Said, Edward",""
"Menon, V P",""
"Eraly, Abraham",""
"Nayar, Kuldip",""
"Lapierre, Dominique",""
"Huntington, Samuel",""
"Nehru, Jawaharlal",""
"Woodward, Bob",""
"Friedman, Thomas",""
"Fisk, Robert",""
"Rutherford, Alex",""
"Baz-Zohar, Michael",""
"Ackroyd, Peter",""
"Dalrymple, William",""
"Villani, Cedric",""
"Bell, E T",""
"Tao, Terence",""
"Deb, Siddhartha",""
"Hitler, Adolf",""
"Pausch, Randy",""
"BBC",""
"Dylan, Bob",""
"Deshpande, Sunita",""
"Kale, V P",""
"Tharoor, Shashi",""
"Orwell, George",""
"Iacoca, Lee",""
"Bach, Richard",""
"Deshpande, P L",""
"Corbett, Jim",""
"Sorabjee",""
"Zaidi, Hussain",""
"Nariman",""
"Durant, Will",""
"Harris, Sam",""
"Sen, Amartya",""
"Pirsig, Robert",""
"Russell, Bertrand",""
"Rand, Ayn",""
"Ranjan, Sudhanshu",""
"Kautiyla",""
"Palkhivala",""
"Machiavelli",""
"Konnikova, Maria",""
"Mlodinow, Leonard",""
"Heisenberg, Werner",""
"Feynman, Richard",""
"Capra, Fritjof",""
"Hawking, Stephen",""
"Bodanis, David",""
"Aczel, Amir",""
"Singh, Simon",""
"Devlin, Keith",""
"Gleick, James",""
"Sagan, Carl",""
"Dawkins, Richard",""
"Goswami, Jaideva",""
"Shih, Frank",""
"Eddins, Steve",""
