Author Name,Biography
"Test","Test"
"Oram, Andy",""
"Cormen, Thomas",""
"Tanenbaum, Andrew",""
"Taub, Schilling",""
"Rashid, Muhammad",""
"Mohan, Ned",""
"Kanetkar, Yashwant",""
"Raymond, Eric",""
"Franco, Sergio",""
"Foreman, John",""
"Sebastian Gutierrez",""
"Pratt, John",""
"Nisbet, Robert",""
"Conway, Drew",""
"Silver, Nate",""
"McKinney, Wes",""
"Gupta, Madan",""
"Bradsky, Gary",""
"Forsyth, David",""
"Duda, Hart",""
"Thomas, Joy",""
"Haykin, Simon",""
"Vapnik, Vladimir",""
"Downey, Allen",""
"Janert, Phillip",""
"Smith, Adam",""
"Dubner, Stephen",""
"Sussman, Gerald",""
"Stonier, Alfred",""
"Greene, W. H.",""
"Various",""
"Drucker, Peter",""
"Vonnegut, Kurt",""
"Kafka, Frank",""
"Wells, H. G.",""
"Camus, Albert",""
"Doyle, Arthur Conan",""
"Follett, Ken",""
"Hemingway, Ernest",""
"Archer, Jeffery",""
"Crichton, Michael",""
"Poe, Edgar Allen",""
"Grisham, John",""
"Naipaul, V. S.",""
"Heller, Joseph",""
"Stroud, Jonathan",""
"Dostoevsky, Fyodor",""
"Ghosh, Amitav",""
"Hansberry, Lorraine",""
"Garg, Sanjay",""
"Gardner, Earle Stanley",""
"Hugo, Victor",""
"Braithwaite",""
"Forsyth, Frederick",""
"Durrell, Gerald",""
"Maugham, William S",""
"Gordon, Richard",""
"Steinbeck, John",""
"Verne, Jules",""
"West, Morris",""
"Sassoon, Jean",""
"Dickinson, Peter",""
"Brown, Dan",""
"Huxley, Aldous",""
"Rowling, J K",""
"Larsson, Steig",""
"Dickens, Charles",""
"Said, Edward",""
"Menon, V P",""
"Eraly, Abraham",""
"Nayar, Kuldip",""
"Lapierre, Dominique",""
"Huntington, Samuel",""
"Nehru, Jawaharlal",""
"Woodward, Bob",""
"Friedman, Thomas",""
"Fisk, Robert",""
"Rutherford, Alex",""
"Baz-Zohar, Michael",""
"Ackroyd, Peter",""
"Dalrymple, William",""
"Villani, Cedric",""
"Bell, E T",""
"Tao, Terence",""
"Deb, Siddhartha",""
"Hitler, Adolf",""
"Pausch, Randy",""
"BBC",""
"Dylan, Bob",""
"Deshpande, Sunita",""
"Kale, V P",""
"Tharoor, Shashi",""
"Orwell, George",""
"Iacoca, Lee",""
"Bach, Richard",""
"Deshpande, P L",""
"Corbett, Jim",""
"Sorabjee",""
"Zaidi, Hussain",""
"Nariman",""
"Durant, Will",""
"Harris, Sam",""
"Sen, Amartya",""
"Pirsig, Robert",""
"Russell, Bertrand",""
"Rand, Ayn",""
"Ranjan, Sudhanshu",""
"Kautiyla",""
"Palkhivala",""
"Machiavelli",""
"Konnikova, Maria",""
"Mlodinow, Leonard",""
"Heisenberg, Werner",""
"Feynman, Richard",""
"Capra, Fritjof",""
"Hawking, Stephen",""
"Bodanis, David",""
"Aczel, Amir",""
"Singh, Simon",""
"Devlin, Keith",""
"Gleick, James",""
"Sagan, Carl",""
"Dawkins, Richard",""
"Goswami, Jaideva",""
"Shih, Frank",""
"Eddins, Steve",""
