Product Name,Author,Genre,Page Count,Publisher,Product Family,Active,Display URL
Final Crisis,,comic,257,,Book,Yes,
"Killing Joke, The",,comic,283,,Book,Yes,
Flashpoint,,comic,265,,Book,Yes,
Batman Earth One,"Johns, Geoff",comic,265,,Book,Yes,https://upload.wikimedia.org/wikipedia/en/thumb/3/3f/Batman-_Earth_One.jpg/250px-Batman-_Earth_One.jpg
Crisis on Infinite Earths,,comic,258,,Book,Yes,
Superman Earth One - 1,,comic,259,,Book,Yes,
Superman Earth One - 2,,comic,258,,Book,Yes,
Justice League: Throne of Atlantis,,comic,258,,Book,Yes,
Justice League: The Villain's Journey,,comic,258,,Book,Yes,
"Death of Superman, The",,comic,258,,Book,Yes,
History of the DC Universe,,comic,258,,Book,Yes,
Batman: The Long Halloween,,comic,258,,Book,Yes,
Batman Handbook,,comic,270,,Book,Yes,
Structure & Interpretation of Computer Programs,"Sussman, Gerald",computer_science,240,MIT Press,Book,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/SICP_cover.jpg/220px-SICP_cover.jpg
Making Software,"Oram, Andy",computer_science,232,O'Reilly,Book,Yes,
Introduction to Algorithms,"Cormen, Thomas",computer_science,234,MIT Press,Book,Yes,
Data Structures Using C & C++,"Tanenbaum, Andrew",computer_science,235,Prentice Hall,Book,Yes,
Principles of Communication Systems,"Taub, Schilling",computer_science,240,TMH,Book,Yes,
Let Us C,"Kanetkar, Yashwant",computer_science,213,Prentice Hall,Book,Yes,
Power Electronics - Rashid,"Rashid, Muhammad",computer_science,235,,Book,Yes,
Power Electronics - Mohan,"Mohan, Ned",computer_science,237,,Book,Yes,
Pointers in C,"Kanetkar, Yashwant",computer_science,213,,Book,Yes,
"Cathedral and the Bazaar, The","Raymond, Eric",computer_science,217,,Book,Yes,
Design with OpAmps,"Franco, Sergio",computer_science,240,,Book,Yes,
Data Smart,"Foreman, John",data_science,235,Wiley,Book,Yes,
"Nature of Statistical Learning Theory, The","Vapnik, Vladimir",data_science,230,Springer,Book,Yes,
Data Scientists at Work,Sebastian Gutierrez,data_science,230,Apress,Book,Yes,
Statistical Decision Theory',"Pratt, John",data_science,236,MIT Press,Book,Yes,
Data Mining Handbook,"Nisbet, Robert",data_science,242,Apress,Book,Yes,
Machine Learning for Hackers,"Conway, Drew",data_science,233,O'Reilly,Book,Yes,
"Signal and the Noise, The","Silver, Nate",data_science,233,Penguin,Book,Yes,
Python for Data Analysis,"McKinney, Wes",data_science,233,O'Reilly,Book,Yes,
Soft Computing & Intelligent Systems,"Gupta, Madan",data_science,242,Elsevier,Book,Yes,
Learning OpenCV,"Bradsky, Gary",data_science,232,O'Reilly,Book,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/OpenCV_Logo_with_text_svg_version.svg/180px-OpenCV_Logo_with_text_svg_version.svg.png
"Computer Vision, A Modern Approach","Forsyth, David",data_science,255,Pearson,Book,Yes,
Pattern Classification,"Duda, Hart",data_science,241,,Book,Yes,
Elements of Information Theory,"Thomas, Joy",data_science,229,,Book,Yes,
Neural Networks,"Haykin, Simon",data_science,240,,Book,Yes,
Statistical Learning Theory,"Vapnik, Vladimir",data_science,228,,Book,Yes,
Think Complexity,"Downey, Allen",data_science,230,,Book,Yes,
Data Analysis with Open Source Tools,"Janert, Phillip",data_science,230,,Book,Yes,
Superfreakonomics,"Dubner, Stephen",economics,179,HarperCollins,Book,Yes,
"Wealth of Nations, The","Smith, Adam",economics,175,Random House,Book,Yes,
Freakonomics,"Dubner, Stephen",economics,197,Penguin,Book,Yes,https://upload.wikimedia.org/wikipedia/en/6/63/Freakonomics.jpg
Textbook of Economic Theory,"Stonier, Alfred",economics,242,Pearson,Book,Yes,
Econometric Analysis,"Greene, W. H.",economics,242,Pearson,Book,Yes,
"Social Choice & Welfare, Vol 39 No. 1",Various,economics,235,Springer,Book,Yes,
New Markets & Other Essays,"Drucker, Peter",economics,176,Penguin,Book,Yes,
"Age of Discontuinity, The","Drucker, Peter",economics,178,Random House,Book,Yes,
Rationality & Freedom,"Sen, Amartya",economics,213,Springer,Book,Yes,
"Journal of Economics, vol 106 No 3",,economics,235,,Book,Yes,
Slaughterhouse Five,"Vonnegut, Kurt",fiction,198,Random House,Book,Yes,
"Trial, The","Kafka, Frank",fiction,198,Random House,Book,Yes,
"New Machiavelli, The","Wells, H. G.",fiction,180,Penguin,Book,Yes,
"Outsider, The","Camus, Albert",fiction,198,Penguin,Book,Yes,
"Complete Sherlock Holmes, The - Vol I","Doyle, Arthur Conan",fiction,176,Random House,Book,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Sherlock_Holmes_Portrait_Paget.jpg/220px-Sherlock_Holmes_Portrait_Paget.jpg
"Complete Sherlock Holmes, The - Vol II","Doyle, Arthur Conan",fiction,176,Random House,Book,Yes,
"Pillars of the Earth, The","Follett, Ken",fiction,176,Random House,Book,Yes,
"Farewell to Arms, A","Hemingway, Ernest",fiction,179,Rupa,Book,Yes,
"Veteran, The","Forsyth, Frederick",fiction,177,Transworld,Book,Yes,
False Impressions,"Archer, Jeffery",fiction,177,Pan,Book,Yes,
Jurassic Park,"Crichton, Michael",fiction,174,Random House,Book,Yes,
Tales of Mystery and Imagination,"Poe, Edgar Allen",fiction,172,HarperCollins,Book,Yes,
Asami Asami,"Deshpande, P L",fiction,205,Mauj,Book,Yes,
Journal of a Novel,"Steinbeck, John",fiction,196,Penguin,Book,Yes,
"Moon is Down, The","Steinbeck, John",fiction,196,Penguin,Book,Yes,
"Brethren, The","Grisham, John",fiction,174,Random House,Book,Yes,
In a Free State,"Naipaul, V. S.",fiction,196,Rupa,Book,Yes,
Catch 22,"Heller, Joseph",fiction,178,Random House,Book,Yes,
"Amulet of Samarkand, The","Stroud, Jonathan",fiction,179,Random House,Book,Yes,
Crime and Punishment,"Dostoevsky, Fyodor",fiction,180,Penguin,Book,Yes,
Angels & Demons,"Brown, Dan",fiction,178,Random House,Book,Yes,
Sea of Poppies,"Ghosh, Amitav",fiction,197,Penguin,Book,Yes,
"Raisin in the Sun, A","Hansberry, Lorraine",fiction,175,Penguin,Book,Yes,
"Prisoner of Birth, A","Archer, Jeffery",fiction,176,Pan,Book,Yes,
Maqta-e-Ghalib,"Garg, Sanjay",fiction,221,Mauj,Book,Yes,
"Great Indian Novel, The","Tharoor, Shashi",fiction,198,Penguin,Book,Yes,
"City of Joy, The","Lapierre, Dominique",fiction,177,vikas,Book,Yes,
"Winter of Our Discontent, The","Steinbeck, John",fiction,196,Penguin,Book,Yes,
"Case of the Lame Canary, The","Gardner, Earle Stanley",fiction,179,,Book,Yes,
"Hunchback of Notre Dame, The","Hugo, Victor",fiction,175,Random House,Book,Yes,
Burning Bright,"Steinbeck, John",fiction,175,Penguin,Book,Yes,
Doctor in the Nude,"Gordon, Richard",fiction,179,Penguin,Book,Yes,
"World's Greatest Short Stories, The",,fiction,217,Jaico,Book,Yes,
"Maugham's Collected Short Stories, Vol 3","Maugham, William S",fiction,171,Vintage,Book,Yes,
"Phantom of Manhattan, The","Forsyth, Frederick",fiction,180,,Book,Yes,
Ashenden of The British Agent,"Maugham, William S",fiction,160,Vintage,Book,Yes,
We the Living,"Rand, Ayn",fiction,178,Penguin,Book,Yes,
Selected Short Stories,,fiction,215,Jaico,Book,Yes,
To Sir With Love,Braithwaite,fiction,197,Penguin,Book,Yes,
Half A Life,"Naipaul, V S",fiction,196,,Book,Yes,
"Deceiver, The","Forsyth, Frederick",fiction,178,,Book,Yes,
Rosy is My Relative,"Durrell, Gerald",fiction,176,,Book,Yes,
"Moon and Sixpence, The","Maugham, William S",fiction,180,,Book,Yes,
"Trembling of a Leaf, The","Maugham, William S",fiction,205,,Book,Yes,
Doctor on the Brain,"Gordon, Richard",fiction,204,,Book,Yes,
"Grapes of Wrath, The","Steinbeck, John",fiction,196,,Book,Yes,
20000 Leagues Under the Sea,"Verne, Jules",fiction,190,,Book,Yes,
Batatyachi Chal,Deshpande P L,fiction,200,,Book,Yes,
Hafasavnuk,Deshpande P L,fiction,211,,Book,Yes,
Urlasurla,Deshpande P L,fiction,211,,Book,Yes,
"Devil's Advocate, The","West, Morris",fiction,178,,Book,Yes,
More Tears to Cry,"Sassoon, Jean",fiction,235,,Book,Yes,
"Ropemaker, The","Dickinson, Peter",fiction,196,,Book,Yes,
Angels & Demons,"Brown, Dan",fiction,170,,Book,Yes,
"Judge, The",,fiction,170,,Book,Yes,
"Attorney, The",,fiction,170,,Book,Yes,
Eyeless in Gaza,"Huxley, Aldous",fiction,180,,Book,Yes,
Tales of Beedle the Bard,"Rowling, J K",fiction,184,,Book,Yes,
Girl with the Dragon Tattoo,"Larsson, Steig",fiction,179,,Book,Yes,
Girl who kicked the Hornet's Nest,"Larsson, Steig",fiction,179,,Book,Yes,
Girl who played with Fire,"Larsson, Steig",fiction,179,,Book,Yes,
Animal Farm,"Orwell, George",fiction,180,,Book,Yes,
"Idiot, The","Dostoevsky, Fyodor",fiction,197,,Book,Yes,
"Christmas Carol, A","Dickens, Charles",fiction,196,,Book,Yes,
Orientalism,"Said, Edward",history,197,Penguin,Book,Yes,
Integration of the Indian States,"Menon, V P",history,217,Orient Blackswan,Book,Yes,
"Age of Wrath, The","Eraly, Abraham",history,238,Penguin,Book,Yes,
All the President's Men,"Woodward, Bob",history,177,Random House,Book,Yes,
Scoop!,"Nayar, Kuldip",history,216,HarperCollins,Book,Yes,
"Last Mughal, The","Dalrymple, William",history,199,Penguin,Book,Yes,
India from Midnight to Milennium,"Tharoor, Shashi",history,198,Penguin,Book,Yes,
"World's Greatest Trials, The",,history,210,,Book,Yes,
O Jerusalem!,"Lapierre, Dominique",history,217,vikas,Book,Yes,
Freedom at Midnight,"Lapierre, Dominique",history,167,vikas,Book,Yes,
Beyond the Three Seas,"Dalrymple, William",history,197,Random House,Book,Yes,
"Great War for Civilization, The","Fisk, Robert",history,197,HarperCollins,Book,Yes,
Clash of Civilizations and Remaking of the World Order,"Huntington, Samuel",history,228,Simon&Schuster,Book,Yes,
"Discovery of India, The","Nehru, Jawaharlal",history,230,,Book,Yes,
Veil: Secret Wars of the CIA,"Woodward, Bob",history,171,,Book,Yes,
"Short History of the World, A","Wells, H G",history,197,,Book,Yes,
From Beirut to Jerusalem,"Friedman, Thomas",history,202,,Book,Yes,
"Age of the Warrior, The","Fisk, Robert",history,197,,Book,Yes,
Empire of the Mughal - The Tainted Throne,"Rutherford, Alex",history,180,,Book,Yes,
