Product ID,Active,Author,Genre,Page Count,Product Family,Product Name,Publisher
"01t5f000002R6RTAA0","true","a005f0000048CMEAA2","","","Book","Fixed-Base Assembly System",""
"01t5f0000003UsVAAU","false","","Comic","257.0","Book","Final Crisis",""
"01t5f0000003UsWAAU","false","","Comic","283.0","Book","Killing Joke, The",""
"01t5f0000003UsXAAU","false","","Comic","265.0","Book","Flashpoint",""
"01t5f0000003UsYAAU","false","","Comic","265.0","Book","Batman Earth One",""
"01t5f0000003UsZAAU","false","","Comic","258.0","Book","Crisis on Infinite Earths",""
"01t5f0000003UsaAAE","false","","Comic","259.0","Book","Superman Earth One - 1",""
"01t5f0000003UsbAAE","false","","Comic","258.0","Book","Superman Earth One - 2",""
"01t5f0000003UscAAE","false","","Comic","258.0","Book","Justice League: Throne of Atlantis",""
"01t5f0000003UsdAAE","false","","Comic","258.0","Book","Justice League: The Villain's Journey",""
"01t5f0000003UseAAE","false","","Comic","258.0","Book","Death of Superman, The",""
"01t5f0000003UsfAAE","false","","Comic","258.0","Book","History of the DC Universe",""
"01t5f0000003UsgAAE","false","","Comic","258.0","Book","Batman: The Long Halloween",""
"01t5f0000003UshAAE","false","","Comic","270.0","Book","Batman Handbook",""
"01t5f0000003UsiAAE","false","a005f0000048CdOAAU","computer_science","240.0","Book","Structure & Interpretation of Computer Programs","MIT Press"
"01t5f0000003UsjAAE","false","a005f0000048CdPAAU","computer_science","232.0","Book","Making Software","O'Reilly"
"01t5f0000003UskAAE","false","a005f0000048CdQAAU","computer_science","234.0","Book","Introduction to Algorithms","MIT Press"
"01t5f0000003UslAAE","false","a005f0000048CdRAAU","computer_science","235.0","Book","Data Structures Using C & C++","Prentice Hall"
"01t5f0000003UsmAAE","false","a005f0000048CdSAAU","computer_science","240.0","Book","Principles of Communication Systems","TMH"
"01t5f0000003UsnAAE","false","a005f0000048CdWAAU","computer_science","213.0","Book","Let Us C","Prentice Hall"
"01t5f0000003UsoAAE","false","a005f0000048CdUAAU","computer_science","235.0","Book","Power Electronics - Rashid",""
"01t5f0000003UspAAE","false","a005f0000048CdVAAU","computer_science","237.0","Book","Power Electronics - Mohan",""
"01t5f0000003UsqAAE","false","a005f0000048CdWAAU","computer_science","213.0","Book","Pointers in C",""
"01t5f0000003UsrAAE","false","a005f0000048CdXAAU","computer_science","217.0","Book","Cathedral and the Bazaar, The",""
"01t5f0000003UssAAE","false","a005f0000048CdYAAU","computer_science","240.0","Book","Design with OpAmps",""
"01t5f0000003UstAAE","false","a005f0000048CdZAAU","data_science","235.0","Book","Data Smart","Wiley"
"01t5f0000003UsuAAE","false","a005f0000048CdnAAE","data_science","230.0","Book","Nature of Statistical Learning Theory, The","Springer"
"01t5f0000003UsvAAE","false","a005f0000048CdbAAE","data_science","230.0","Book","Data Scientists at Work","Apress"
"01t5f0000003UswAAE","false","a005f0000048CdcAAE","data_science","236.0","Book","Statistical Decision Theory'","MIT Press"
"01t5f0000003UsxAAE","false","a005f0000048CddAAE","data_science","242.0","Book","Data Mining Handbook","Apress"
"01t5f0000003UsyAAE","false","a005f0000048CdeAAE","data_science","233.0","Book","Machine Learning for Hackers","O'Reilly"
"01t5f0000003UszAAE","false","a005f0000048CdfAAE","data_science","233.0","Book","Signal and the Noise, The","Penguin"
"01t5f0000003Ut0AAE","false","a005f0000048CdgAAE","data_science","233.0","Book","Python for Data Analysis","O'Reilly"
"01t5f0000003Ut1AAE","false","a005f0000048CdhAAE","data_science","242.0","Book","Soft Computing & Intelligent Systems","Elsevier"
"01t5f0000003Ut2AAE","false","a005f0000048CdiAAE","data_science","232.0","Book","Learning OpenCV","O'Reilly"
"01t5f0000003Ut3AAE","false","a005f0000048CdjAAE","data_science","255.0","Book","Computer Vision, A Modern Approach","Pearson"
"01t5f0000003Ut4AAE","false","a005f0000048CdkAAE","data_science","241.0","Book","Pattern Classification",""
"01t5f0000003Ut5AAE","false","a005f0000048CdlAAE","data_science","229.0","Book","Elements of Information Theory",""
"01t5f0000003Ut6AAE","false","a005f0000048CdmAAE","data_science","240.0","Book","Neural Networks",""
"01t5f0000003Ut7AAE","false","a005f0000048CdnAAE","data_science","228.0","Book","Statistical Learning Theory",""
"01t5f0000003Ut8AAE","false","a005f0000048CdoAAE","data_science","230.0","Book","Think Complexity",""
"01t5f0000003Ut9AAE","false","a005f0000048CdpAAE","data_science","230.0","Book","Data Analysis with Open Source Tools",""
"01t5f0000003UtAAAU","false","a005f0000048CdsAAE","Economics","179.0","Book","Superfreakonomics","HarperCollins"
"01t5f0000003UtBAAU","false","a005f0000048CdrAAE","Economics","175.0","Book","Wealth of Nations, The","Random House"
"01t5f0000003UtCAAU","false","a005f0000048CdsAAE","Economics","197.0","Book","Freakonomics","Penguin"
"01t5f0000003UtDAAU","false","a005f0000048CdtAAE","Economics","242.0","Book","Textbook of Economic Theory","Pearson"
"01t5f0000003UtEAAU","false","a005f0000048CduAAE","Economics","242.0","Book","Econometric Analysis","Pearson"
"01t5f0000003UtFAAU","false","a005f0000048CdvAAE","Economics","235.0","Book","Social Choice & Welfare, Vol 39 No. 1","Springer"
"01t5f0000003UtGAAU","false","a005f0000048CdxAAE","Economics","176.0","Book","New Markets & Other Essays","Penguin"
"01t5f0000003UtHAAU","false","a005f0000048CdxAAE","Economics","178.0","Book","Age of Discontuinity, The","Random House"
"01t5f0000003UtIAAU","false","a005f0000048CfwAAE","Economics","213.0","Book","Rationality & Freedom","Springer"
"01t5f0000003UtJAAU","false","","Economics","235.0","Book","Journal of Economics, vol 106 No 3",""
"01t5f0000003UtKAAU","false","a005f0000048CdzAAE","Fiction","198.0","Book","Slaughterhouse Five","Random House"
"01t5f0000003UtLAAU","false","a005f0000048Ce0AAE","Fiction","198.0","Book","Trial, The","Random House"
"01t5f0000003UtMAAU","false","a005f0000048Ce1AAE","Fiction","180.0","Book","New Machiavelli, The","Penguin"
"01t5f0000003UtNAAU","false","a005f0000048Ce2AAE","Fiction","198.0","Book","Outsider, The","Penguin"
"01t5f0000003UtOAAU","false","a005f0000048Ce4AAE","Fiction","176.0","Book","Complete Sherlock Holmes, The - Vol I","Random House"
"01t5f0000003UtPAAU","false","a005f0000048Ce4AAE","Fiction","176.0","Book","Complete Sherlock Holmes, The - Vol II","Random House"
"01t5f0000003UtQAAU","false","a005f0000048Ce5AAE","Fiction","176.0","Book","Pillars of the Earth, The","Random House"
"01t5f0000003UtRAAU","false","a005f0000048Ce6AAE","Fiction","179.0","Book","Farewell to Arms, A","Rupa"
"01t5f0000003UtSAAU","false","a005f0000048CebAAE","Fiction","177.0","Book","Veteran, The","Transworld"
"01t5f0000003UtTAAU","false","a005f0000048Ce8AAE","Fiction","177.0","Book","False Impressions","Pan"
"01t5f0000003UtUAAU","false","a005f0000048Ce9AAE","Fiction","174.0","Book","Jurassic Park","Random House"
"01t5f0000003UtVAAU","false","a005f0000048CeAAAU","Fiction","172.0","Book","Tales of Mystery and Imagination","HarperCollins"
"01t5f0000003UtWAAU","false","a005f0000048CfnAAE","Fiction","205.0","Book","Asami Asami","Mauj"
"01t5f0000003UtXAAU","false","a005f0000048CegAAE","Fiction","196.0","Book","Journal of a Novel","Penguin"
"01t5f0000003UtYAAU","false","a005f0000048CegAAE","Fiction","196.0","Book","Moon is Down, The","Penguin"
"01t5f0000003UtZAAU","false","a005f0000048CeEAAU","Fiction","174.0","Book","Brethren, The","Random House"
"01t5f0000003UtaAAE","false","a005f0000048CeFAAU","Fiction","196.0","Book","In a Free State","Rupa"
"01t5f0000003UtbAAE","false","a005f0000048CeGAAU","Fiction","178.0","Book","Catch 22","Random House"
"01t5f0000003UtcAAE","false","a005f0000048CeHAAU","Fiction","179.0","Book","Amulet of Samarkand, The","Random House"
"01t5f0000003UtdAAE","false","a005f0000048CeIAAU","Fiction","180.0","Book","Crime and Punishment","Penguin"
"01t5f0000003UteAAE","false","a005f0000048CeoAAE","Fiction","178.0","Book","Angels & Demons","Random House"
"01t5f0000003UtfAAE","false","a005f0000048CeKAAU","Fiction","197.0","Book","Sea of Poppies","Penguin"
